customer,state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size,vehicle_type
DK49336,Arizona,No,Basic,College,Employed,M,Suburban,Married,Corporate Auto,Corporate L3,Offer3,Agent,Four-Door Car,Medsize,B
KX64629,California,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer4,Call Center,Four-Door Car,Medsize,B
LZ68649,Washington,No,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer3,Call Center,SUV,Medsize,A
XL78013,Oregon,Yes,Extended,College,Employed,M,Suburban,Single,Corporate Auto,Corporate L3,Offer2,Branch,Four-Door Car,Medsize,A
QA50777,Oregon,No,Premium,Bachelor,Medical Leave,F,Suburban,Married,Personal Auto,Personal L2,Offer1,Branch,Four-Door Car,Medsize,B
HO81102,Unknown,No,Basic,High School or Below,Employed,M,Suburban,Divorced,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Medsize,A
IW72280,California,No,Basic,Doctor,Employed,F,Urban,Married,Corporate Auto,Corporate L2,Offer2,Branch,Four-Door Car,Medsize,B
IH64929,California,No,Basic,High School or Below,Employed,M,Urban,Single,Personal Auto,Personal L2,Offer2,Branch,Two-Door Car,Medsize,B
FM55990,California,Yes,Premium,College,Employed,M,Suburban,Single,Personal Auto,Personal L1,Offer2,Branch,Sports Car,Medsize,B
QX31376,Oregon,No,Extended,Master,Employed,F,Suburban,Married,Corporate Auto,Corporate L3,Offer2,Agent,Four-Door Car,Small,B
HG93801,Arizona,No,Extended,High School or Below,Employed,M,Urban,Married,Corporate Auto,Corporate L3,Offer2,Branch,SUV,Large,A
GE63585,Unknown,No,Basic,Bachelor,Employed,M,Urban,Divorced,Corporate Auto,Corporate L3,Offer1,Call Center,Two-Door Car,Medsize,B
EO51920,Oregon,No,Extended,High School or Below,Employed,F,Rural,Married,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,B
KR82385,California,No,Basic,Master,Employed,M,Suburban,Single,Personal Auto,Personal L3,Offer4,Call Center,Two-Door Car,Medsize,A
TL59568,Arizona,No,Premium,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Personal L2,Offer3,Agent,Two-Door Car,Medsize,B
CW49887,California,Yes,Basic,Master,Employed,F,Suburban,Divorced,Special Auto,Special L1,Offer2,Branch,SUV,Medsize,B
FH51383,California,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,Personal L3,Offer4,Call Center,Two-Door Car,Large,A
TR26615,Oregon,No,Basic,High School or Below,Unemployed,M,Urban,Married,Corporate Auto,Corporate L2,Offer2,Branch,Two-Door Car,Medsize,A
ZC97968,California,No,Basic,College,Disabled,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Two-Door Car,Medsize,A
NJ54277,California,Yes,Extended,College,Employed,F,Rural,Married,Personal Auto,Personal L2,Offer2,Call Center,Two-Door Car,Large,A
OM80593,California,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Call Center,SUV,Medsize,A
RL65736,Oregon,No,Extended,High School or Below,Medical Leave,F,Suburban,Single,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Small,B
EQ62488,Oregon,No,Basic,College,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Call Center,Luxury Car,Large,A
NQ71171,California,No,Basic,Bachelor,Employed,M,Rural,Married,Personal Auto,Personal L2,Offer1,Agent,Four-Door Car,Medsize,B
YK32760,Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Divorced,Corporate Auto,Corporate L1,Offer1,Agent,Four-Door Car,Medsize,A
AY59197,Nevada,No,Extended,College,Employed,M,Rural,Married,Special Auto,Special L3,Offer4,Agent,SUV,Small,A
XF15789,Arizona,No,Basic,College,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer3,Branch,SUV,Large,A
MQ68407,Oregon,Yes,Premium,Bachelor,Employed,F,Rural,Divorced,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Medsize,B
CI99444,Nevada,No,Basic,College,Employed,F,Urban,Married,Special Auto,Special L2,Offer2,Call Center,Four-Door Car,Medsize,A
BD70337,California,No,Basic,High School or Below,Medical Leave,M,Urban,Married,Personal Auto,Personal L2,Offer4,Call Center,Four-Door Car,Medsize,B
GX19342,California,No,Premium,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Large,A
DP19210,California,No,Basic,Master,Employed,F,Suburban,Married,Corporate Auto,Corporate L2,Offer2,Branch,Sports Car,Medsize,B
OJ63606,Arizona,No,Premium,High School or Below,Medical Leave,F,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Call Center,SUV,Small,A
OH23893,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Personal L1,Offer1,Branch,SUV,Medsize,B
RI76930,California,No,Basic,College,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Call Center,SUV,Large,B
YK26558,California,No,Basic,College,Unemployed,F,Rural,Divorced,Special Auto,Special L3,Offer1,Branch,Four-Door Car,Medsize,B
OE15005,California,No,Basic,College,Medical Leave,M,Suburban,Married,Personal Auto,Personal L2,Offer3,Call Center,SUV,Medsize,B
RA17555,Oregon,No,Basic,High School or Below,Employed,M,Urban,Married,Corporate Auto,Corporate L2,Offer3,Agent,Four-Door Car,Medsize,B
ZI34278,Arizona,No,Basic,Bachelor,Medical Leave,F,Suburban,Single,Personal Auto,Personal L1,Offer2,Web,Four-Door Car,Medsize,B
XD72019,Oregon,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Personal L2,Offer2,Web,Four-Door Car,Large,A
RR93140,California,No,Basic,College,Employed,F,Urban,Married,Personal Auto,Personal L2,Offer2,Branch,Four-Door Car,Medsize,A
BE25221,Arizona,No,Extended,High School or Below,Medical Leave,M,Suburban,Married,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Medsize,B
PV62583,Nevada,No,Extended,College,Medical Leave,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Web,SUV,Medsize,A
BL12371,Arizona,No,Basic,Master,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Large,A
ER49844,Arizona,No,Basic,College,Employed,M,Rural,Married,Personal Auto,Personal L1,Offer4,Call Center,Four-Door Car,Medsize,B
RI22468,Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Personal L1,Offer3,Web,Four-Door Car,Medsize,A
SY48591,Arizona,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Medsize,B
PR23514,California,No,Basic,College,Employed,M,Rural,Divorced,Personal Auto,Personal L3,Offer2,Web,Luxury SUV,Medsize,B
UY32623,California,No,Extended,College,Disabled,F,Suburban,Divorced,Corporate Auto,Corporate L2,Offer1,Branch,Four-Door Car,Large,A
QV30663,Nevada,No,Extended,Master,Employed,F,Rural,Married,Personal Auto,Personal L3,Offer3,Call Center,SUV,Medsize,A
MS94619,California,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer3,Web,Four-Door Car,Medsize,A
FT56968,Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Large,A
TX39594,Arizona,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer3,Call Center,Two-Door Car,Small,B
GR42174,Oregon,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer4,Call Center,Four-Door Car,Medsize,B
XI79589,California,No,Extended,High School or Below,Unemployed,F,Suburban,Divorced,Personal Auto,Personal L1,Offer1,Branch,SUV,Medsize,B
XQ74827,Arizona,No,Extended,High School or Below,Employed,F,Suburban,Single,Special Auto,Special L3,Offer1,Agent,Luxury Car,Medsize,A
TW17878,Oregon,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L3,Offer1,Call Center,Four-Door Car,Medsize,B
GB43363,Oregon,No,Premium,College,Unemployed,M,Suburban,Single,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Small,A
BR69566,Unknown,No,Basic,College,Employed,M,Suburban,Divorced,Personal Auto,Personal L3,Offer4,Call Center,Two-Door Car,Small,B
EP83939,Arizona,No,Basic,High School or Below,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Medsize,B
IQ95180,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Branch,Four-Door Car,Small,A
JX52708,California,No,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Personal Auto,Personal L3,Offer2,Call Center,Two-Door Car,Medsize,A
UF44021,Unknown,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L2,Offer1,Agent,Two-Door Car,Medsize,B
AV25133,Oregon,No,Extended,College,Unemployed,F,Suburban,Single,Personal Auto,Personal L3,Offer3,Web,Two-Door Car,Small,B
WL24392,Arizona,No,Basic,Bachelor,Employed,M,Rural,Married,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Medsize,A
LO57874,Oregon,Yes,Basic,Bachelor,Retired,M,Suburban,Divorced,Corporate Auto,Corporate L3,Offer1,Agent,Four-Door Car,Large,B
UO54511,California,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Personal L1,Offer3,Agent,Four-Door Car,Medsize,A
KR35099,Washington,Yes,Basic,College,Employed,M,Urban,Single,Personal Auto,Personal L3,Offer2,Agent,Two-Door Car,Medsize,A
NY12562,Nevada,No,Basic,College,Unemployed,F,Suburban,Single,Corporate Auto,Corporate L2,Offer2,Branch,Four-Door Car,Medsize,A
QG27547,Oregon,Yes,Extended,Bachelor,Retired,F,Suburban,Divorced,Personal Auto,Personal L3,Offer2,Call Center,Four-Door Car,Medsize,A
PH78214,Oregon,No,Basic,College,Medical Leave,F,Suburban,Married,Personal Auto,Personal L3,Offer2,Agent,Four-Door Car,Medsize,B
LO37570,Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Personal L3,Offer3,Agent,Four-Door Car,Medsize,A
FH81409,California,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Offer1,Agent,Four-Door Car,Small,B
RW65977,Arizona,No,Basic,College,Unemployed,M,Suburban,Single,Special Auto,Special L2,Offer1,Agent,Four-Door Car,Medsize,B
LD75023,Oregon,No,Extended,High School or Below,Employed,M,Suburban,Divorced,Personal Auto,Personal L2,Offer1,Web,Luxury SUV,Medsize,B
OZ92426,Oregon,No,Basic,College,Employed,M,Urban,Single,Corporate Auto,Corporate L1,Offer4,Branch,Four-Door Car,Medsize,B
FI17798,California,No,Basic,Doctor,Unemployed,M,Suburban,Married,Personal Auto,Personal L3,Offer1,Agent,Four-Door Car,Small,B
YC54142,Washington,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Offer1,Branch,Luxury Car,Medsize,B
LN28900,California,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Personal L1,Offer1,Web,Four-Door Car,Small,A
SX63814,Arizona,No,Premium,High School or Below,Employed,M,Rural,Married,Personal Auto,Personal L3,Offer3,Call Center,Four-Door Car,Medsize,B
VM85555,California,No,Basic,College,Employed,F,Rural,Single,Personal Auto,Personal L2,Offer3,Branch,Four-Door Car,Medsize,A
RO18530,Washington,No,Basic,Master,Employed,M,Rural,Single,Personal Auto,Personal L3,Offer4,Agent,Four-Door Car,Large,B
